Elección,TH,CodCom,CodMun,Circunscripción,Partido,Nombre
E14,,0,0,ESTADO,C´S,"'GIRAUTA VIDAL,JUAN CARLOS'"
E14,,0,0,ESTADO,C´S,"'NART PEÑALVER,JAVIER'"
E14,,0,0,ESTADO,EAJ-PNV ... (E14),"'BILBAO BARANDIKA,MIREN IZASKUN'"
E14,,0,0,ESTADO,EAJ-PNV ... (E14),"'GAMBUS MILLET,FRANCESC DE PAULA'"
E14,,0,0,ESTADO,EAJ-PNV ... (E14),"'TREMOSA BALCELLS,RAMON'"
E14,,0,0,ESTADO,EH BILDU,"'JUARISTI ABAUNZ,IOSU MIRENA'"
E14,,0,0,ESTADO,EPDD,"'MARAGALL MIRA,ERNEST'"
E14,,0,0,ESTADO,EPDD,"'TERRICABRAS NOGUERAS,JOSEP MARIA'"
E14,,0,0,ESTADO,EQUO-PUM+J,"'SEBASTIA TALAVERA,JORDI'"
E14,,0,0,ESTADO,IU-LV,"'ALBIOL GUZMAN,MARINA'"
E14,,0,0,ESTADO,IU-LV,"'LOPEZ BERMEJO,PALOMA'"
E14,,0,0,ESTADO,IU-LV,"'MEYER PLEITE,WILLY ENRIQUE'"
E14,,0,0,ESTADO,IU-LV,"'SENRA RODRIGUEZ,MARIA LIDIA'"
E14,,0,0,ESTADO,IU-LV,"'URTASUN DOMENECH,ERNEST'"
E14,,0,0,ESTADO,IU-LV,"'VALLINA DE LA NOVAL,ANGELA ROSA'"
E14,,0,0,ESTADO,PODEMOS,"'ECHENIQUE ROBBA,PABLO'"
E14,,0,0,ESTADO,PODEMOS,"'IGLESIAS TURRION,PABLO'"
E14,,0,0,ESTADO,PODEMOS,"'JIMENEZ VILLAREJO,CARLOS'"
E14,,0,0,ESTADO,PODEMOS,"'RODRIGUEZ-RUBIO VAZQUEZ,MARIA TERESA'"
E14,,0,0,ESTADO,PODEMOS,"'SANCHEZ CALDENTEY,MARIA DOLORES'"
E14,,0,0,ESTADO,PP,"'ARIAS CAÑETE,MIGUEL'"
E14,,0,0,ESTADO,PP,"'AYUSO GONZALEZ,MARIA DEL PILAR'"
E14,,0,0,ESTADO,PP,"'DE GRANDES PASCUAL,LUIS'"
E14,,0,0,ESTADO,PP,"'DEL CASTILLO VERA,PILAR'"
E14,,0,0,ESTADO,PP,"'DIAZ DE MERA GARCIA CONSUEGRA,AGUSTIN J. DE LA CRUZ'"
E14,,0,0,ESTADO,PP,"'ESTARAS FERRAGUT,ROSA'"
E14,,0,0,ESTADO,PP,"'FISAS AYXELA,SANTIAGO'"
E14,,0,0,ESTADO,PP,"'GONZALEZ PONS,ESTEBAN'"
E14,,0,0,ESTADO,PP,"'HERRANZ GARCIA,MARIA ESTHER'"
E14,,0,0,ESTADO,PP,"'JIMENEZ-BECERRIL BARRIO,MARIA TERESA'"
E14,,0,0,ESTADO,PP,"'LOPE FONTAGNE,VERONICA'"
E14,,0,0,ESTADO,PP,"'LOPEZ-ISTURIZ WHITE,ANTONIO JAVIER'"
E14,,0,0,ESTADO,PP,"'MATO ADROVER,GABRIEL'"
E14,,0,0,ESTADO,PP,"'MILLAN MON,FRANCISCO JOSE'"
E14,,0,0,ESTADO,PP,"'VALCARCEL SISO,RAMON LUIS'"
E14,,0,0,ESTADO,PP,"'ZALBA BIDEGAIN,PABLO'"
E14,,0,0,ESTADO,PSE-PSOE,"'AGUILERA GARCIA,CLARA EUGENIA'"
E14,,0,0,ESTADO,PSE-PSOE,"'AYALA SENDER,INES'"
E14,,0,0,ESTADO,PSE-PSOE,"'BLANCO LOPEZ,JOSE'"
E14,,0,0,ESTADO,PSE-PSOE,"'CABEZON RUIZ,SOLEDAD'"
E14,,0,0,ESTADO,PSE-PSOE,"'FERNANDEZ ALVAREZ,JONAS'"
E14,,0,0,ESTADO,PSE-PSOE,"'GARCIA PEREZ,IRATXE'"
E14,,0,0,ESTADO,PSE-PSOE,"'GARDIAZABAL RUBIAL,EIDER'"
E14,,0,0,ESTADO,PSE-PSOE,"'GUERRERO SALOM,ENRIQUE'"
E14,,0,0,ESTADO,PSE-PSOE,"'GUTIERREZ PRIETO,SERGIO'"
E14,,0,0,ESTADO,PSE-PSOE,"'JAUREGUI ATONDO,RAMON'"
E14,,0,0,ESTADO,PSE-PSOE,"'LOPEZ AGUILAR,JUAN FERNANDO'"
E14,,0,0,ESTADO,PSE-PSOE,"'LOPEZ FERNANDEZ,JAVIER'"
E14,,0,0,ESTADO,PSE-PSOE,"'RODRIGUEZ-PIÑERO FERNANDEZ,INMACULADA'"
E14,,0,0,ESTADO,PSE-PSOE,"'VALENCIANO MARTINEZ-OROZCO,MARIA ELENA'"
E14,,0,0,ESTADO,UPYD,"'BECERRA BASTERRECHEA,BEATRIZ'"
E14,,0,0,ESTADO,UPYD,"'MAURA BARANDIARAN,FERNANDO'"
E14,,0,0,ESTADO,UPYD,"'PAGAZAURTUNDUA RUIZ,MARIA TERESA'"
E14,,0,0,ESTADO,UPYD,"'SOSA WAGNER,FRANCISCO'"
