,id_provincia,Nombre de Provincia,id_comunidad
0,1,Araba - Álava                 ,13
1,2,Albacete                      ,6
2,3,Alicante / Alacant            ,16
3,4,Almería                       ,0
4,5,Ávila                         ,7
5,6,Badajoz                       ,9
6,7,Illes Balears                 ,3
7,8,Barcelona                     ,8
8,9,Burgos                        ,7
9,10,Cáceres                       ,9
10,11,Cádiz                         ,0
11,12,Castellón / Castelló          ,16
12,13,Ciudad Real                   ,6
13,14,Córdoba                       ,0
14,15,A Coruña                      ,10
15,16,Cuenca                        ,6
16,17,Girona                        ,8
17,18,Granada                       ,0
18,19,Guadalajara                   ,6
19,20,Gipuzkoa                      ,13
20,21,Huelva                        ,0
21,22,Huesca                        ,1
22,23,Jaén                          ,0
23,24,León                          ,7
24,25,Lleida                        ,8
25,26,La Rioja                      ,15
26,27,Lugo                          ,10
27,28,Madrid                        ,11
28,29,Málaga                        ,0
29,30,Murcia                        ,14
30,31,Navarra                       ,12
31,32,Ourense                       ,10
32,33,Asturias                      ,2
33,34,Palencia                      ,7
34,35,Las Palmas                    ,4
35,36,Pontevedra                    ,10
36,37,Salamanca                     ,7
37,38,Santa Cruz de Tenerife        ,4
38,39,Cantabria                     ,5
39,40,Segovia                       ,7
40,41,Sevilla                       ,0
41,42,Soria                         ,7
42,43,Tarragona                     ,8
43,44,Teruel                        ,1
44,45,Toledo                        ,6
45,46,Valencia / València           ,16
46,47,Valladolid                    ,7
47,48,Bizkaia                       ,13
48,49,Zamora                        ,7
49,50,Zaragoza                      ,1
50,51,Ceuta                         ,17
51,52,Melilla                       ,18
